order_id,date_id,product_id,store_id,quantity,order_amount
O00001,20260201,P102,S04,2,60
O00002,20260618,P102,S02,5,150
O00003,20260107,P102,S01,3,90
O00004,20260723,P102,S03,3,90
O00005,20260505,P202,S05,4,720
O00006,20260226,P101,S05,1,45
O00007,20260426,P201,S04,2,240
O00008,20261102,P102,S04,2,60
O00009,20261022,P202,S05,4,720
O00010,20260414,P102,S02,5,150
O00011,20261230,P201,S01,3,360
O00012,20260821,P201,S02,5,600
O00013,20260409,P201,S02,5,600
O00014,20260104,P101,S05,4,180
O00015,20261208,P201,S02,4,480
O00016,20261031,P101,S01,2,90
O00017,20260107,P201,S04,4,480
O00018,20260519,P202,S01,3,540
O00019,20260530,P202,S01,4,720
O00020,20260216,P201,S02,1,120
O00021,20260712,P202,S05,2,360
O00022,20260117,P202,S05,2,360
O00023,20261026,P202,S03,4,720
O00024,20261017,P201,S04,5,600
O00025,20260417,P102,S04,4,120
O00026,20261005,P102,S04,2,60
O00027,20260708,P202,S04,2,360
O00028,20260228,P102,S01,4,120
O00029,20260805,P201,S02,1,120
O00030,20261201,P202,S05,4,720
O00031,20260305,P202,S01,1,180
O00032,20260712,P102,S04,4,120
O00033,20260305,P102,S02,3,90
O00034,20260502,P102,S05,2,60
O00035,20260817,P202,S02,2,360
O00036,20261214,P202,S04,5,900
O00037,20260103,P102,S01,2,60
O00038,20261005,P102,S02,4,120
O00039,20261004,P201,S03,3,360
O00040,20261029,P201,S03,3,360
O00041,20260801,P202,S03,4,720
O00042,20260421,P101,S02,4,180
O00043,20260120,P101,S03,1,45
O00044,20260316,P201,S02,5,600
O00045,20260128,P102,S04,1,30
O00046,20260509,P202,S03,4,720
O00047,20260515,P102,S02,5,150
O00048,20260209,P201,S03,2,240
O00049,20261211,P202,S02,4,720
O00050,20260823,P102,S05,4,120
O00051,20260924,P101,S04,2,90
O00052,20261109,P201,S05,2,240
O00053,20260504,P201,S02,3,360
O00054,20261205,P202,S04,4,720
O00055,20260428,P202,S01,1,180
O00056,20260719,P102,S01,3,90
O00057,20260830,P202,S01,3,540
O00058,20260703,P101,S01,5,225
O00059,20260423,P102,S03,1,30
O00060,20261104,P201,S04,5,600
O00061,20261225,P201,S02,5,600
O00062,20261213,P201,S04,5,600
O00063,20260709,P202,S01,1,180
O00064,20260413,P101,S01,2,90
O00065,20260502,P202,S04,3,540
O00066,20260304,P201,S01,1,120
O00067,20260910,P101,S05,2,90
O00068,20260404,P202,S05,1,180
O00069,20260106,P102,S05,3,90
O00070,20260105,P102,S01,5,150
O00071,20260313,P202,S01,2,360
O00072,20260624,P201,S01,2,240
O00073,20260503,P201,S04,3,360
O00074,20261115,P201,S04,5,600
O00075,20260323,P201,S01,4,480
O00076,20261113,P201,S05,5,600
O00077,20260309,P101,S05,2,90
O00078,20261006,P102,S03,5,150
O00079,20260405,P202,S04,4,720
O00080,20261011,P101,S01,4,180
O00081,20260716,P202,S05,1,180
O00082,20260913,P102,S02,2,60
O00083,20260901,P201,S05,3,360
O00084,20260303,P101,S02,3,135
O00085,20260507,P102,S04,2,60
O00086,20260919,P101,S05,1,45
O00087,20260505,P202,S03,4,720
O00088,20260318,P201,S04,3,360
O00089,20260813,P201,S02,4,480
O00090,20261128,P201,S05,4,480
O00091,20260305,P102,S02,3,90
O00092,20260526,P102,S05,1,30
O00093,20260818,P102,S04,4,120
O00094,20260218,P101,S05,3,135
O00095,20261104,P101,S05,5,225
O00096,20260502,P102,S02,2,60
O00097,20260423,P101,S01,2,90
O00098,20260202,P101,S02,4,180
O00099,20260131,P101,S01,4,180
O00100,20260502,P101,S01,3,135
O00101,20260717,P201,S01,4,480
O00102,20260111,P202,S05,3,540
O00103,20260506,P102,S01,3,90
O00104,20260605,P202,S04,3,540
O00105,20260521,P102,S03,2,60
O00106,20260405,P102,S01,3,90
O00107,20261020,P102,S02,4,120
O00108,20260930,P101,S03,4,180
O00109,20260428,P201,S01,1,120
O00110,20260711,P201,S03,3,360
O00111,20260713,P201,S04,2,240
O00112,20261115,P202,S03,3,540
O00113,20260108,P102,S02,2,60
O00114,20261207,P202,S02,1,180
O00115,20260226,P101,S05,3,135
O00116,20260909,P201,S02,4,480
O00117,20260603,P201,S02,5,600
O00118,20260527,P202,S01,3,540
O00119,20260925,P202,S04,5,900
O00120,20260324,P202,S04,4,720
O00121,20260127,P101,S01,5,225
O00122,20261206,P201,S02,5,600
O00123,20260915,P101,S01,3,135
O00124,20261211,P202,S04,3,540
O00125,20260417,P102,S05,3,90
O00126,20260625,P201,S05,3,360
O00127,20260605,P102,S05,5,150
O00128,20261231,P102,S04,2,60
O00129,20260116,P202,S01,3,540
O00130,20261213,P101,S04,3,135
O00131,20260131,P102,S05,1,30
O00132,20260529,P202,S02,2,360
O00133,20261005,P101,S02,3,135
O00134,20260731,P102,S01,1,30
O00135,20261119,P101,S02,4,180
O00136,20261206,P201,S03,3,360
O00137,20260408,P101,S03,3,135
O00138,20260731,P101,S04,2,90
O00139,20260203,P202,S01,3,540
O00140,20260522,P202,S03,2,360
O00141,20261025,P102,S05,1,30
O00142,20261115,P202,S05,5,900
O00143,20261229,P202,S02,1,180
O00144,20260516,P102,S03,2,60
O00145,20261030,P101,S01,5,225
O00146,20260225,P201,S01,4,480
O00147,20261020,P102,S04,3,90
O00148,20260126,P202,S04,5,900
O00149,20261031,P201,S05,2,240
O00150,20260808,P201,S02,2,240
O00151,20261202,P202,S05,3,540
O00152,20260402,P102,S03,5,150
O00153,20261127,P101,S05,2,90
O00154,20260624,P202,S05,2,360
O00155,20261022,P102,S04,5,150
O00156,20260226,P201,S03,1,120
O00157,20260423,P102,S02,1,30
O00158,20260711,P102,S04,4,120
O00159,20260320,P101,S01,5,225
O00160,20260105,P201,S04,4,480
O00161,20261127,P201,S02,5,600
O00162,20260913,P101,S04,5,225
O00163,20260410,P101,S02,3,135
O00164,20260919,P101,S01,2,90
O00165,20261109,P201,S05,1,120
O00166,20260719,P102,S05,5,150
O00167,20260812,P202,S01,4,720
O00168,20261218,P202,S01,1,180
O00169,20260529,P202,S05,5,900
O00170,20260221,P102,S03,2,60
O00171,20261024,P201,S01,2,240
O00172,20260816,P102,S02,1,30
O00173,20261227,P101,S01,3,135
O00174,20260113,P201,S05,5,600
O00175,20260825,P102,S05,1,30
O00176,20260318,P101,S03,3,135
O00177,20261119,P202,S05,4,720
O00178,20260922,P101,S02,3,135
O00179,20261021,P101,S04,1,45
O00180,20260111,P101,S04,5,225
O00181,20260203,P102,S01,3,90
O00182,20260808,P102,S01,3,90
O00183,20260928,P202,S03,3,540
O00184,20260511,P201,S02,2,240
O00185,20260218,P102,S01,2,60
O00186,20260102,P102,S04,4,120
O00187,20261116,P201,S01,4,480
O00188,20261205,P202,S05,2,360
O00189,20260422,P102,S03,1,30
O00190,20260726,P201,S03,5,600
O00191,20261002,P202,S01,3,540
O00192,20260324,P202,S04,1,180
O00193,20261222,P102,S02,3,90
O00194,20260116,P201,S04,2,240
O00195,20260213,P101,S01,1,45
O00196,20261207,P201,S04,1,120
O00197,20260123,P102,S02,1,30
O00198,20261225,P201,S01,1,120
O00199,20260522,P201,S03,1,120
O00200,20261111,P201,S05,5,600
O00201,20260305,P102,S03,1,30
O00202,20260427,P202,S04,2,360
O00203,20260225,P101,S05,5,225
O00204,20260204,P202,S05,5,900
O00205,20260315,P102,S04,5,150
O00206,20260512,P102,S04,4,120
O00207,20261018,P202,S02,4,720
O00208,20260319,P202,S05,1,180
O00209,20260713,P202,S04,4,720
O00210,20260901,P202,S05,5,900
O00211,20261018,P102,S05,5,150
O00212,20260601,P202,S02,5,900
O00213,20260927,P201,S04,5,600
O00214,20260825,P202,S01,3,540
O00215,20260517,P101,S01,1,45
O00216,20260726,P202,S04,4,720
O00217,20261128,P201,S02,2,240
O00218,20260130,P201,S02,1,120
O00219,20261230,P102,S05,2,60
O00220,20261130,P101,S03,1,45
O00221,20260527,P101,S02,4,180
O00222,20260422,P102,S04,1,30
O00223,20260814,P202,S05,3,540
O00224,20260812,P101,S05,1,45
O00225,20260103,P201,S04,4,480
O00226,20261007,P202,S04,1,180
O00227,20260317,P201,S04,5,600
O00228,20261107,P102,S02,1,30
O00229,20260208,P202,S02,3,540
O00230,20260508,P102,S02,4,120
O00231,20261129,P201,S01,1,120
O00232,20260427,P201,S04,2,240
O00233,20261118,P201,S02,2,240
O00234,20260404,P102,S05,5,150
O00235,20260524,P101,S01,3,135
O00236,20260925,P202,S04,5,900
O00237,20260803,P101,S03,5,225
O00238,20260528,P201,S04,5,600
O00239,20260722,P201,S03,5,600
O00240,20260915,P202,S05,1,180
O00241,20260411,P202,S05,2,360
O00242,20260221,P101,S03,2,90
O00243,20260809,P102,S03,4,120
O00244,20261215,P102,S03,5,150
O00245,20260320,P102,S02,2,60
O00246,20261230,P202,S01,5,900
O00247,20260411,P202,S05,4,720
O00248,20260820,P201,S04,5,600
O00249,20261217,P102,S05,5,150
O00250,20261231,P102,S01,4,120
O00251,20260313,P101,S01,4,180
O00252,20260501,P202,S01,5,900
O00253,20260819,P201,S04,5,600
O00254,20261101,P101,S03,3,135
O00255,20261222,P201,S05,2,240
O00256,20260914,P201,S05,3,360
O00257,20260527,P202,S03,3,540
O00258,20261027,P102,S02,2,60
O00259,20260717,P202,S04,2,360
O00260,20260713,P102,S01,5,150
O00261,20260904,P201,S03,2,240
O00262,20260609,P102,S03,3,90
O00263,20261107,P101,S03,2,90
O00264,20260525,P202,S05,1,180
O00265,20260210,P202,S04,4,720
O00266,20261016,P102,S03,4,120
O00267,20260117,P101,S04,1,45
O00268,20261013,P102,S02,1,30
O00269,20260720,P202,S01,5,900
O00270,20260713,P101,S03,2,90
O00271,20260910,P102,S02,5,150
O00272,20261124,P102,S05,2,60
O00273,20261115,P201,S02,5,600
O00274,20260119,P101,S01,3,135
O00275,20261105,P102,S02,1,30
O00276,20261031,P101,S05,2,90
O00277,20260817,P101,S04,5,225
O00278,20260917,P102,S02,5,150
O00279,20260713,P101,S01,5,225
O00280,20260313,P101,S04,3,135
O00281,20260930,P102,S02,5,150
O00282,20260427,P101,S03,2,90
O00283,20260828,P201,S01,5,600
O00284,20260819,P101,S03,2,90
O00285,20260414,P102,S03,2,60
O00286,20260902,P201,S01,5,600
O00287,20261018,P101,S01,3,135
O00288,20260424,P202,S01,3,540
O00289,20260802,P202,S02,2,360
O00290,20261013,P102,S05,1,30
O00291,20260417,P101,S03,5,225
O00292,20260212,P101,S02,3,135
O00293,20260703,P102,S04,5,150
O00294,20260522,P202,S04,1,180
O00295,20261231,P201,S02,1,120
O00296,20260209,P102,S01,3,90
O00297,20260720,P201,S03,2,240
O00298,20261115,P201,S05,5,600
O00299,20261224,P202,S02,2,360
O00300,20260324,P101,S04,4,180
O00301,20260518,P202,S04,1,180
O00302,20260331,P102,S05,2,60
O00303,20260407,P102,S01,3,90
O00304,20260121,P201,S04,4,480
O00305,20260720,P202,S01,2,360
O00306,20261112,P102,S03,1,30
O00307,20261213,P201,S04,5,600
O00308,20260518,P101,S03,4,180
O00309,20261015,P101,S04,2,90
O00310,20260909,P201,S01,2,240
O00311,20261008,P102,S04,5,150
O00312,20261006,P102,S05,2,60
O00313,20260929,P201,S04,5,600
O00314,20261201,P101,S04,2,90
O00315,20260321,P101,S01,4,180
O00316,20260215,P102,S03,1,30
O00317,20260303,P101,S05,2,90
O00318,20260506,P101,S04,5,225
O00319,20260811,P101,S04,5,225
O00320,20260225,P101,S04,4,180
O00321,20260903,P101,S04,2,90
O00322,20260120,P101,S05,2,90
O00323,20260509,P102,S02,2,60
O00324,20261102,P102,S04,2,60
O00325,20260729,P202,S05,5,900
O00326,20260615,P202,S04,4,720
O00327,20261103,P101,S04,1,45
O00328,20261111,P101,S03,4,180
O00329,20260917,P101,S02,4,180
O00330,20260312,P201,S03,2,240
O00331,20261115,P202,S05,2,360
O00332,20260106,P201,S01,4,480
O00333,20260930,P202,S04,2,360
O00334,20261130,P202,S01,3,540
O00335,20260226,P201,S03,3,360
O00336,20260711,P101,S01,1,45
O00337,20260205,P202,S05,2,360
O00338,20260105,P202,S05,1,180
O00339,20260801,P101,S01,4,180
O00340,20260213,P101,S04,3,135
O00341,20261029,P102,S04,1,30
O00342,20260710,P201,S02,4,480
O00343,20260206,P201,S02,2,240
O00344,20260124,P101,S01,4,180
O00345,20260927,P202,S05,3,540
O00346,20260807,P201,S01,5,600
O00347,20260122,P102,S03,2,60
O00348,20260321,P201,S05,1,120
O00349,20260102,P201,S03,4,480
O00350,20260508,P202,S03,3,540
O00351,20261211,P102,S03,4,120
O00352,20260926,P101,S04,4,180
O00353,20261006,P102,S03,4,120
O00354,20260821,P202,S01,4,720
O00355,20261208,P102,S04,3,90
O00356,20261215,P202,S03,3,540
O00357,20260606,P201,S04,3,360
O00358,20260915,P202,S01,5,900
O00359,20260328,P101,S05,5,225
O00360,20261004,P102,S03,5,150
O00361,20260324,P102,S01,1,30
O00362,20261021,P102,S01,5,150
O00363,20261207,P202,S04,3,540
O00364,20260601,P202,S02,1,180
O00365,20260118,P202,S01,5,900
O00366,20260417,P101,S05,4,180
O00367,20260619,P202,S05,3,540
O00368,20261122,P201,S05,1,120
O00369,20260213,P202,S03,4,720
O00370,20261016,P201,S02,1,120
O00371,20260120,P102,S03,1,30
O00372,20260210,P102,S02,5,150
O00373,20260817,P101,S03,1,45
O00374,20260223,P201,S01,4,480
O00375,20261208,P102,S04,2,60
O00376,20260703,P101,S04,1,45
O00377,20260116,P102,S03,1,30
O00378,20261127,P101,S04,4,180
O00379,20260803,P102,S02,1,30
O00380,20260628,P202,S05,2,360
O00381,20260608,P201,S01,5,600
O00382,20260105,P201,S03,3,360
O00383,20260501,P102,S05,2,60
O00384,20260520,P102,S05,3,90
O00385,20260802,P102,S03,5,150
O00386,20260222,P201,S03,1,120
O00387,20261121,P101,S05,3,135
O00388,20261206,P202,S01,2,360
O00389,20260502,P102,S05,4,120
O00390,20260602,P101,S05,1,45
O00391,20260208,P101,S03,3,135
O00392,20260715,P201,S04,4,480
O00393,20260410,P101,S05,2,90
O00394,20260313,P102,S04,2,60
O00395,20260721,P101,S03,2,90
O00396,20260909,P101,S02,5,225
O00397,20261206,P202,S05,4,720
O00398,20261105,P101,S03,1,45
O00399,20260906,P202,S04,3,540
O00400,20261206,P202,S05,5,900
O00401,20260922,P201,S03,1,120
O00402,20260102,P202,S01,5,900
O00403,20260526,P101,S04,2,90
O00404,20260905,P201,S02,4,480
O00405,20260321,P102,S02,4,120
O00406,20260806,P101,S05,5,225
O00407,20260507,P102,S03,5,150
O00408,20260408,P202,S04,1,180
O00409,20261016,P102,S05,3,90
O00410,20261227,P201,S02,2,240
O00411,20260928,P202,S05,2,360
O00412,20260821,P101,S04,4,180
O00413,20260119,P101,S01,5,225
O00414,20260102,P102,S01,3,90
O00415,20260628,P201,S05,2,240
O00416,20260531,P201,S03,2,240
O00417,20260416,P101,S05,4,180
O00418,20260910,P101,S05,5,225
O00419,20260121,P201,S05,4,480
O00420,20260208,P201,S01,1,120
O00421,20260416,P201,S01,5,600
O00422,20260107,P102,S05,2,60
O00423,20260901,P201,S05,1,120
O00424,20261012,P102,S03,5,150
O00425,20260319,P101,S01,2,90
O00426,20261207,P202,S01,5,900
O00427,20260423,P101,S01,5,225
O00428,20260624,P101,S04,1,45
O00429,20260406,P102,S05,3,90
O00430,20260928,P102,S02,4,120
O00431,20260603,P101,S05,5,225
O00432,20260801,P202,S04,1,180
O00433,20261220,P201,S02,1,120
O00434,20260504,P201,S03,4,480
O00435,20261130,P202,S02,2,360
O00436,20260815,P201,S03,4,480
O00437,20261007,P201,S02,5,600
O00438,20260510,P202,S03,2,360
O00439,20260202,P201,S05,1,120
O00440,20261128,P101,S04,4,180
O00441,20260104,P201,S02,2,240
O00442,20260409,P101,S02,3,135
O00443,20261209,P201,S02,3,360
O00444,20260809,P202,S04,3,540
O00445,20260407,P101,S02,2,90
O00446,20260506,P102,S04,2,60
O00447,20260424,P101,S03,4,180
O00448,20260127,P101,S03,1,45
O00449,20261206,P202,S01,5,900
O00450,20260801,P102,S03,1,30
O00451,20260303,P202,S05,5,900
O00452,20260326,P202,S03,2,360
O00453,20260718,P102,S05,4,120
O00454,20260912,P201,S04,2,240
O00455,20260530,P201,S03,2,240
O00456,20260127,P102,S05,4,120
O00457,20260812,P202,S04,2,360
O00458,20261005,P201,S05,3,360
O00459,20260316,P101,S04,3,135
O00460,20260720,P202,S04,1,180
O00461,20260822,P201,S01,2,240
O00462,20260525,P202,S05,1,180
O00463,20260926,P102,S05,5,150
O00464,20260203,P101,S03,1,45
O00465,20260521,P102,S02,5,150
O00466,20260428,P201,S04,1,120
O00467,20260920,P201,S03,4,480
O00468,20260421,P102,S02,5,150
O00469,20261015,P202,S04,1,180
O00470,20260916,P201,S04,2,240
O00471,20260209,P201,S03,2,240
O00472,20260511,P202,S02,5,900
O00473,20261215,P202,S01,3,540
O00474,20261227,P201,S01,1,120
O00475,20260127,P102,S02,2,60
O00476,20261106,P101,S01,3,135
O00477,20261129,P102,S01,2,60
O00478,20260505,P102,S05,2,60
O00479,20260417,P101,S02,5,225
O00480,20261201,P201,S02,1,120
O00481,20260725,P202,S05,1,180
O00482,20261012,P201,S05,4,480
O00483,20260201,P201,S04,3,360
O00484,20260111,P101,S02,1,45
O00485,20260712,P202,S05,5,900
O00486,20260329,P101,S04,3,135
O00487,20260824,P202,S04,1,180
O00488,20260512,P201,S05,1,120
O00489,20260304,P202,S03,5,900
O00490,20261010,P101,S04,2,90
O00491,20261215,P201,S01,4,480
O00492,20260522,P102,S04,5,150
O00493,20260917,P201,S04,3,360
O00494,20260806,P101,S01,2,90
O00495,20261102,P102,S05,2,60
O00496,20260708,P101,S02,2,90
O00497,20260101,P202,S03,5,900
O00498,20260120,P202,S03,1,180
O00499,20261219,P201,S04,2,240
